idx,label,label-CN,for
0,ANY-background,背景,train
1,CT-prostate_or_uterus,CT-前列腺/子宫,train
2,CT-duodenum,CT-十二指肠,train
3,CT-kidney_right,CT-右肾,train
4,CT-adrenal_gland_left,CT-右肾上腺,train
5,CT-iliac_artery_right,CT-右髂动脉,train
6,CT-iliopsoas_right,CT-右髂腰肌,train
7,CT-iliac_vena_right,CT-右髂静脉,train
8,CT-uterus,CT-子宫,train
9,CT-small_bowel,CT-小肠,train
10,CT-left_or_right_kidney,CT-左/右肾,No_Label
11,CT-left_or_right_adrenal_gland,CT-左/右肾上腺,No_Label
12,CT-kidney_left,CT-左肾,train
13,CT-adrenal_gland_right,CT-左肾上腺,train
14,CT-iliac_artery_left,CT-左髂动脉,train
15,CT-iliac_vena_left,CT-左髂静脉,train
16,CT-rectum,CT-直肠,train
17,CT-colon,CT-结肠,train
18,CT-liver,CT-肝脏,train
19,CT-liver_vessel,CT-肝血管,train
20,CT-intestine,CT-肠,train
21,CT-kidney,CT-肾,train
22,CT-adrenal,CT-肾上腺,train
23,CT-kidney_arteries,CT-肾动脉,train
24,CT-kidney_veins,CT-肾静脉,train
25,CT-stomach,CT-胃,train
26,CT-gallbladder,CT-胆囊,train
27,CT-pancreas,CT-胰腺,train
28,CT-spleen,CT-脾脏,train
29,CT-urinary_bladder,CT-膀胱,train
30,CT-portal_vein_and_splenic_vein,"CT-门静脉,脾静脉",train
31,MR-prostate,MR-前列腺,train
32,MR-prostate_or_uterus,MR-前列腺/子宫,train
33,MR-duodenum,MR-十二指肠,No_Label
34,MR-right_kidney,MR-右肾,train
35,MR-right_adrenal,MR-右肾上腺,No_Label
36,MR-left_or_right_kidney,MR-左/右肾,No_Label
37,MR-left_or_right_adrenal_gland,MR-左/右肾上腺,No_Label
38,MR-liver,MR-肝脏,train
39,MR-spleen,MR-脾脏,train
40,MR-urinary_bladder,MR-膀胱,No_Label
41,CT-inferior_vena_cava,CT-下腔静脉,train
42,CT-aorta,CT-主动脉,train
43,CT-esophagus,CT-食道,train
44,MR-inferior_vena_cava,MR-下腔静脉,No_Label
45,MR-esophagus,MR-食道,No_Label
46,CT-lumbar_vertebra,CT-腰椎,train
47,CT-vertebrae_L1,CT-腰椎-L1,train
48,CT-vertebrae_L2,CT-腰椎-L2,train
49,CT-vertebrae_L3,CT-腰椎-L3,train
50,CT-vertebrae_L4,CT-腰椎-L4,train
51,CT-vertebrae_L5,CT-腰椎-L5,train
52,CT-lumbar_spine-6,CT-腰椎-L6,train
53,MR-lumbar_vertebra,MR-腰椎,No_Label
54,MR-lumbar_spine-1,MR-腰椎-L1,No_Label
55,CT-right_coronary_artery,CT-右冠状动脉,No_Label
56,CT-heart_ventricle_right,CT-右心室,train
57,CT-right_ventricle_blood_cavity,CT-右心室血腔,No_Label
58,CT-heart_atrium_right,CT-右心房,train
59,CT-right_atrium_blood_cavity,CT-右心房血腔,No_Label
