,size,spacing
./imagesTr/SLIVER07_000_0000.nii.gz,"(512, 512, 183)","(0.7421900033950806, 0.7421900033950806, 1.5)"
./imagesTr/SLIVER07_001_0000.nii.gz,"(512, 512, 64) ","(0.6289060115814209, 0.6289060115814209, 3.0)"
./imagesTr/SLIVER07_004_0000.nii.gz,"(512, 512, 319)","(0.5761719942092896, 0.5761719942092896, 1.0)"
./imagesTr/SLIVER07_002_0000.nii.gz,"(512, 512, 79) ","(0.7597659826278687, 0.7597659826278687, 3.0)"
./imagesTr/SLIVER07_006_0000.nii.gz,"(512, 512, 251)","(0.8125, 0.8125, 1.0)"
./imagesTr/SLIVER07_003_0000.nii.gz,"(512, 512, 212)","(0.7089840173721313, 0.7089840173721313, 1.0)"
./imagesTr/SLIVER07_008_0000.nii.gz,"(512, 512, 210)","(0.7460939884185791, 0.7460939884185791, 1.0)"
./imagesTr/SLIVER07_005_0000.nii.gz,"(512, 512, 111)","(0.669920027256012, 0.669920027256012, 2.0)"
./imagesTr/SLIVER07_010_0000.nii.gz,"(512, 512, 388)","(0.5859400033950806, 0.5859400033950806, 1.0)"
./imagesTr/SLIVER07_007_0000.nii.gz,"(512, 512, 228)","(0.6640629768371582, 0.6640629768371582, 1.0)"
./imagesTr/SLIVER07_012_0000.nii.gz,"(512, 512, 145)","(0.703125, 0.703125, 1.25)"
./imagesTr/SLIVER07_009_0000.nii.gz,"(512, 512, 191)","(0.5859379768371582, 0.5859379768371582, 1.0)"
./imagesTr/SLIVER07_014_0000.nii.gz,"(512, 512, 394)","(0.5859379768371582, 0.5859379768371582, 1.0)"
./imagesTr/SLIVER07_011_0000.nii.gz,"(512, 512, 220)","(0.6992189884185791, 0.6992189884185791, 1.0)"
./imagesTr/SLIVER07_016_0000.nii.gz,"(512, 512, 121)","(0.6835899949073792, 0.6835899949073792, 2.0)"
./imagesTr/SLIVER07_013_0000.nii.gz,"(512, 512, 129)","(0.71875, 0.71875, 5.0)"
./imagesTr/SLIVER07_018_0000.nii.gz,"(512, 512, 335)","(0.611329972743988, 0.611329972743988, 0.699999988079071)"
./imagesTr/SLIVER07_015_0000.nii.gz,"(512, 512, 151)","(0.7421900033950806, 0.7421900033950806, 1.5)"
./imagesTr/SLIVER07_017_0000.nii.gz,"(512, 512, 245)","(0.7402340173721313, 0.7402340173721313, 1.0)"
./imagesTr/SLIVER07_019_0000.nii.gz,"(512, 512, 183)","(0.703125, 0.703125, 2.5)"
