,case_id,median,mean,sd,mn,mx,percentile_99_5,percentile_00_5
0,s0184_0000,-62.0,-303.6734934567918,475.4230679248887,-1340,3416,605.0,-1032.0
1,s0712_0000,-78.0,-308.63549277079164,501.27561787563945,-1164,2550,1283.0,-1024.0
2,s0621_0000,-926.0,-581.2372704471188,483.0437591677514,-1290,3151,494.0,-1026.0
3,s0324_0000,-775.0,-481.13140156900255,498.2341467049352,-1245,2710,703.0,-1036.0
4,s0855_0000,-993.0,-650.2879066952763,583.5189233614693,-1046,2213,1637.0,-1024.0
5,s0944_0000,-95.0,-289.4904693868467,503.8293522301779,-1326,3597,1632.0,-1024.0
6,s0484_0000,-967.0,-604.4480042839673,501.77186053921093,-1352,2826,440.0,-1026.0
7,s1066_0000,-839.0,-532.8679457748976,487.4271273372954,-1061,3206,505.0,-1023.0
8,s1242_0000,-914.0,-1038.1831772972891,1131.334265611919,-3665,3531,698.0,-3040.0
9,s0644_0000,-960.0,-649.3405116148228,469.0113425661518,-1258,3536,485.0,-1024.0
10,s1140_0000,-864.0,-555.149257712351,490.7280394484096,-1733,3780,751.0,-1042.0
11,s0401_0000,-947.0,-577.8574692067033,492.1897553093476,-1062,1547,480.0,-1018.0
12,s0792_0000,-934.0,-495.8367175277644,624.470175598357,-1504,2487,1654.0,-1024.0
13,s0106_0000,-97.0,-385.80464803616064,503.7536674014646,-1552,3537,583.0,-1032.0
14,s0188_0000,-952.0,-704.6357143427036,446.54357983180387,-1520,3963,555.0,-1041.0
15,s0175_0000,-861.0,-554.6082998744968,490.06826693051755,-1512,3837,708.0,-1047.0
16,s1390_0000,-754.0,-503.1548661861514,491.3305133117159,-1251,1642,531.0,-1024.0
17,s0891_0000,-33.0,-170.08458677748166,433.09320589191475,-1045,3165,843.0,-1014.0
18,s0084_0000,-132.0,-359.6606506964173,420.2814249339111,-1026,2233,612.0,-1010.0
19,s0691_0000,-977.0,-703.6810521692995,449.89545598732553,-1334,2576,545.0,-1024.0
20,s0857_0000,-930.0,-572.878915326962,557.7446778824074,-1391,3534,1523.0,-1042.0
